"respondent_id","true_profile","department","tenure","level","oe_worked","oe_hard","i1","i2","i3","i4","i5","i6","i7","i8","i9","i10","i11","i12","i13","i14","i15"
"R0277","Moderate-Low Engagement","Engineering","1-3 years","Individual contributor","I liked that it asked about things nobody usually asks about.","Font was small.",3,2,4,2,2,4,4,3,2,2,3,4,1,1,NA
"R0278","Moderate-Low Engagement","Content","1-3 years","Individual contributor","Not much.","Some of the wording was ambiguous -- 'my team' could mean two different things.",3,3,2,2,2,3,NA,2,3,1,4,2,2,NA,3
"R0279","Moderate-High Engagement","Product","3-5 years","Senior IC","The examples actually matched the kind of work I do day to day.","The scale was confusing.",4,3,1,3,3,3,4,4,3,3,3,3,3,4,2
"R0280","Moderate-Low Engagement","Operations","Under 1 year","Senior IC","Not much.","Font was small.",3,3,4,4,1,3,3,3,2,4,2,2,3,1,3
"R0281","Low Engagement","Engineering","5+ years","Senior IC","Not much.","The scale was confusing.",4,1,3,2,2,1,1,2,4,2,2,2,1,3,4
"R0282","Low Engagement","Product","3-5 years","Manager","Short enough that I could give real answers instead of rushing.","There was no option to say a question did not apply to me.",1,1,2,3,1,2,3,3,3,2,2,2,2,2,2
"R0283","Moderate-Low Engagement","Data & Analytics","5+ years","Individual contributor","It was clear what each question was getting at.","Some of the wording was ambiguous -- 'my team' could mean two different things.",2,4,3,4,2,3,3,3,3,2,3,3,4,2,2
"R0284","High Engagement","Engineering","5+ years","Manager","It was clear what each question was getting at.","idk",3,4,4,3,4,4,4,4,4,4,4,4,4,3,NA
"R0285","Moderate-Low Engagement","Content","5+ years","Senior IC","I liked that it asked about things nobody usually asks about.","The scale was confusing.",4,2,4,3,3,3,3,1,3,3,4,2,2,2,4
"R0286","Moderate-High Engagement","Content","1-3 years","Senior IC","The examples actually matched the kind of work I do day to day.","Hard to answer about onboarding when mine was two years ago.",2,2,4,3,1,3,2,3,4,NA,4,2,1,3,4
"R0287","Low Engagement","Content","3-5 years","Senior IC","Not much.","The scale was confusing.",2,4,1,1,2,1,2,3,4,2,2,1,1,4,4
"R0288","Moderate-Low Engagement","Engineering","5+ years","Individual contributor","none","Hard to answer about onboarding when mine was two years ago.",3,4,3,3,3,2,3,1,4,1,2,1,1,4,2
"R0289","Low Engagement","Operations","5+ years","Senior IC","It was fine I guess.","There was no option to say a question did not apply to me.",4,2,3,2,2,2,1,3,2,2,1,2,3,3,2
"R0290","Low Engagement","Engineering","Under 1 year","Senior IC","It was short.","The scale was confusing.",2,1,2,3,1,1,2,1,1,1,2,1,3,3,1
"R0291","Moderate-Low Engagement","Engineering","5+ years","Individual contributor","Not much.","There was no option to say a question did not apply to me.",3,2,NA,2,2,3,3,2,4,4,3,3,4,4,3
"R0292","Moderate-Low Engagement","Product","Under 1 year","Individual contributor","I liked that it asked about things nobody usually asks about.","Some of the wording was ambiguous -- 'my team' could mean two different things.",3,3,4,3,2,3,2,2,1,2,3,2,3,3,3
"R0293","Moderate-High Engagement","Product","1-3 years","Individual contributor","The examples actually matched the kind of work I do day to day.","Some of the wording was ambiguous -- 'my team' could mean two different things.",2,2,2,3,3,2,3,2,3,3,2,NA,4,2,4
"R0294","High Engagement","Product","1-3 years","Senior IC","Short enough that I could give real answers instead of rushing.","Some of the wording was ambiguous -- 'my team' could mean two different things.",4,4,2,4,4,4,2,3,2,2,3,NA,4,4,3
"R0295","Moderate-Low Engagement","Content","1-3 years","Senior IC","It was short.",NA,3,3,3,NA,3,2,1,4,3,2,3,3,3,2,2
"R0296","Moderate-Low Engagement","Data & Analytics","5+ years","Manager","It was clear what each question was getting at.","Font was small.",1,2,1,2,3,2,4,3,3,3,2,1,1,2,4
"R0297","Moderate-Low Engagement","Engineering","Under 1 year","Manager","nothing","Some of the wording was ambiguous -- 'my team' could mean two different things.",1,NA,2,2,3,2,2,1,3,1,4,3,4,4,1
"R0298","Moderate-Low Engagement","Marketing","3-5 years","Individual contributor","Not much.","Too long.",4,3,3,3,3,1,2,4,4,4,2,3,1,2,3
"R0299","Low Engagement","Content","1-3 years","Individual contributor","It was short.","There was no option to say a question did not apply to me.",3,3,1,3,1,2,1,1,2,3,4,1,2,3,3
"R0300","Moderate-High Engagement","Engineering","Under 1 year","Individual contributor","The examples actually matched the kind of work I do day to day.","Hard to answer about onboarding when mine was two years ago.",2,2,4,4,4,4,3,4,1,3,4,3,2,2,4
"R0301","Moderate-Low Engagement","Engineering","3-5 years","Individual contributor","Not much.",NA,3,2,2,2,2,3,4,4,4,NA,2,4,2,4,2
"R0302","Moderate-Low Engagement","Product","3-5 years","Individual contributor","I liked that it asked about things nobody usually asks about.","Hard to answer about onboarding when mine was two years ago.",2,2,4,3,2,2,1,2,2,1,3,3,2,1,1
"R0303","High Engagement","Content","1-3 years","Individual contributor","I liked that it asked about things nobody usually asks about.","Hard to answer about onboarding when mine was two years ago.",3,3,1,1,3,4,4,4,4,3,4,3,3,4,3
"R0304","Moderate-High Engagement","Marketing","5+ years","Senior IC","It was clear what each question was getting at.",NA,3,4,3,3,4,4,4,4,4,3,4,3,4,4,4
"R0305","Moderate-High Engagement","Engineering","3-5 years","Senior IC","It was fine I guess.","n/a",4,2,3,3,4,3,2,NA,4,2,NA,3,4,2,4
"R0306","Moderate-High Engagement","Engineering","3-5 years","Individual contributor","Short enough that I could give real answers instead of rushing.",NA,4,4,4,4,2,4,3,4,4,4,1,4,4,4,4
"R0307","Moderate-High Engagement","Product","1-3 years","Senior IC","The examples actually matched the kind of work I do day to day.","There was no option to say a question did not apply to me.",2,4,4,2,4,3,NA,3,3,3,4,3,3,2,2
"R0308","High Engagement","Operations","5+ years","Manager","It was short.",NA,NA,3,4,3,3,4,NA,3,3,3,4,4,2,4,2
"R0309","Moderate-High Engagement","Product","Under 1 year","Manager","Short enough that I could give real answers instead of rushing.","There was no option to say a question did not apply to me.",3,4,4,4,3,3,3,4,2,4,4,4,4,2,4
"R0310","High Engagement","Product","1-3 years","Senior IC","It was clear what each question was getting at.","There was no option to say a question did not apply to me.",4,4,3,4,4,4,4,3,1,4,4,3,2,4,2
"R0311","Moderate-Low Engagement","Marketing","Under 1 year","Senior IC","Not much.","Font was small.",3,2,4,4,3,4,3,3,2,1,2,4,3,3,1
"R0312","Moderate-Low Engagement","Operations","Under 1 year","Individual contributor","Not much.","Some of the wording was ambiguous -- 'my team' could mean two different things.",2,3,4,3,4,3,2,1,2,2,2,1,2,NA,3
"R0313","Moderate-Low Engagement","Content","1-3 years","Individual contributor","Short enough that I could give real answers instead of rushing.","Some of the wording was ambiguous -- 'my team' could mean two different things.",3,3,3,3,2,2,2,3,3,4,1,3,3,1,4
"R0314","Moderate-Low Engagement","Operations","Under 1 year","Individual contributor","Short enough that I could give real answers instead of rushing.","nothing",3,3,3,3,3,2,2,3,1,2,1,2,2,1,1
"R0315","High Engagement","Content","3-5 years","Individual contributor","The examples actually matched the kind of work I do day to day.","no",4,2,4,4,3,4,2,2,4,4,1,4,3,4,4
"R0316","Moderate-High Engagement","Engineering","3-5 years","Manager","It was clear what each question was getting at.","Too long.",3,3,4,4,3,4,3,3,2,3,3,3,4,2,2
"R0317","Low Engagement","Engineering","5+ years","Senior IC","The examples actually matched the kind of work I do day to day.","n/a",1,2,1,1,1,2,3,3,NA,3,2,2,1,2,NA
"R0318","High Engagement","Content","1-3 years","Manager","I liked that it asked about things nobody usually asks about.","nothing",4,4,2,4,4,4,4,3,4,3,3,4,4,4,4
"R0319","Low Engagement","Content","5+ years","Senior IC","none",NA,1,1,2,2,2,2,1,1,3,3,2,1,4,1,2
"R0320","Moderate-High Engagement","Operations","5+ years","Manager","It was clear what each question was getting at.","There was no option to say a question did not apply to me.",4,1,4,3,4,4,2,1,2,3,2,1,1,2,3
"R0321","Moderate-Low Engagement","Marketing","3-5 years","Senior IC","It was clear what each question was getting at.","Hard to answer about onboarding when mine was two years ago.",2,3,2,1,2,2,1,1,4,4,4,3,1,2,2
"R0322","Low Engagement","Engineering","3-5 years","Individual contributor","none","no",1,2,1,2,2,1,2,3,4,3,2,2,2,1,3
"R0323","Moderate-High Engagement","Operations","Under 1 year","Individual contributor","Not much.","Hard to answer about onboarding when mine was two years ago.",4,NA,3,4,4,3,1,3,3,2,2,3,4,4,2
"R0324","Low Engagement","Data & Analytics","5+ years","Manager","It was fine I guess.","Some of the wording was ambiguous -- 'my team' could mean two different things.",1,3,1,3,1,1,2,2,4,2,1,1,1,1,3
"R0325","Moderate-Low Engagement","Content","Under 1 year","Individual contributor","It was short.","The scale was confusing.",1,2,2,3,3,4,3,4,2,3,4,3,3,1,3
"R0326","Moderate-Low Engagement","Data & Analytics","5+ years","Manager","It was short.","idk",NA,2,4,3,2,4,2,1,2,3,1,1,2,4,3
"R0327","Moderate-Low Engagement","Engineering","1-3 years","Individual contributor","It was short.","Hard to answer about onboarding when mine was two years ago.",2,2,3,3,3,3,3,3,3,NA,4,3,3,1,2
"R0328","Moderate-High Engagement","Content","5+ years","Individual contributor","Short enough that I could give real answers instead of rushing.",NA,4,3,3,4,3,2,2,1,2,4,3,3,2,3,4
"R0329","High Engagement","Operations","Under 1 year","Individual contributor","I liked that it asked about things nobody usually asks about.","Some of the wording was ambiguous -- 'my team' could mean two different things.",2,3,2,2,4,4,2,4,4,3,4,4,3,4,4
"R0330","Moderate-Low Engagement","Marketing","5+ years","Senior IC","The examples actually matched the kind of work I do day to day.","Some of the wording was ambiguous -- 'my team' could mean two different things.",3,2,3,2,3,3,3,2,2,2,3,3,1,1,2
"R0331","High Engagement","Content","3-5 years","Manager","Short enough that I could give real answers instead of rushing.","There was no option to say a question did not apply to me.",4,4,3,4,4,4,4,4,3,3,3,4,4,3,3
"R0332","Low Engagement","Operations","Under 1 year","Senior IC","The examples actually matched the kind of work I do day to day.","There was no option to say a question did not apply to me.",2,1,4,3,1,1,1,3,3,1,2,4,2,3,1
"R0333","Low Engagement","Marketing","3-5 years","Senior IC","nothing","Hard to answer about onboarding when mine was two years ago.",1,2,1,2,1,1,1,2,1,1,3,1,3,1,2
"R0334","Low Engagement","Product","1-3 years","Senior IC","It was fine I guess.","The scale was confusing.",4,2,3,2,1,2,2,3,1,1,1,1,2,4,1
"R0335","Low Engagement","Content","5+ years","Senior IC","It was short.","Font was small.",1,1,1,1,1,1,1,2,3,3,2,2,3,1,2
"R0336","Moderate-Low Engagement","Data & Analytics","Under 1 year","Manager","I liked that it asked about things nobody usually asks about.","Hard to answer about onboarding when mine was two years ago.",3,2,4,4,3,3,3,2,4,4,2,2,3,1,3
"R0337","Moderate-High Engagement","Content","3-5 years","Individual contributor","Short enough that I could give real answers instead of rushing.","Some of the wording was ambiguous -- 'my team' could mean two different things.",3,3,3,3,4,4,3,4,3,4,4,4,4,4,NA
"R0338","Moderate-High Engagement","Content","3-5 years","Manager","The examples actually matched the kind of work I do day to day.",NA,1,2,3,3,2,3,3,4,4,4,4,4,4,3,4
"R0339","Low Engagement","Engineering","Under 1 year","Individual contributor",NA,"Font was small.",2,2,3,1,2,2,1,1,2,3,1,1,1,1,3
"R0340","High Engagement","Engineering","1-3 years","Senior IC","Short enough that I could give real answers instead of rushing.","The scale was confusing.",4,4,1,4,3,4,4,3,3,3,3,4,4,4,4
"R0341","Moderate-High Engagement","Content","5+ years","Individual contributor","It was clear what each question was getting at.",NA,3,3,2,1,4,3,2,4,2,4,1,2,3,3,3
"R0342","Moderate-Low Engagement","Marketing","1-3 years","Individual contributor","Short enough that I could give real answers instead of rushing.","The scale was confusing.",3,4,3,3,1,3,2,4,4,4,4,2,4,4,3
"R0343","High Engagement","Product","3-5 years","Senior IC","The examples actually matched the kind of work I do day to day.","There was no option to say a question did not apply to me.",3,4,3,4,3,4,4,4,2,3,3,3,4,4,4
"R0344","High Engagement","Content","Under 1 year","Individual contributor","I liked that it asked about things nobody usually asks about.","There was no option to say a question did not apply to me.",3,3,4,3,NA,4,3,4,4,4,4,4,4,NA,2
"R0345","Moderate-Low Engagement","Engineering","5+ years","Senior IC","I liked that it asked about things nobody usually asks about.","There was no option to say a question did not apply to me.",2,2,1,2,4,1,4,3,3,4,4,3,3,3,4
"R0346","Moderate-High Engagement","Engineering","Under 1 year","Senior IC","The examples actually matched the kind of work I do day to day.","idk",3,3,4,4,3,4,4,2,4,3,3,3,3,4,4
"R0347","Moderate-High Engagement","Marketing","3-5 years","Senior IC","It was clear what each question was getting at.","nothing",4,2,3,4,3,4,4,1,3,2,4,2,3,4,4
"R0348","Moderate-Low Engagement","Marketing","3-5 years","Individual contributor","It was short.","no",2,4,2,2,3,2,4,3,4,2,1,3,3,4,2
"R0349","Low Engagement","Content","3-5 years","Manager","Not much.","Too long.",3,1,3,3,2,2,2,3,2,3,1,1,1,3,4
"R0350","High Engagement","Marketing","5+ years","Manager","I liked that it asked about things nobody usually asks about.",NA,4,1,4,3,3,4,4,3,NA,4,4,4,4,1,4
"R0351","Moderate-High Engagement","Operations","1-3 years","Individual contributor","Short enough that I could give real answers instead of rushing.","There was no option to say a question did not apply to me.",4,2,4,4,4,3,4,4,4,4,3,4,3,4,4
"R0352","Moderate-Low Engagement","Data & Analytics","1-3 years","Senior IC","It was short.","The scale was confusing.",3,3,2,1,2,2,3,4,2,2,4,3,3,3,3
"R0353","Low Engagement","Engineering","3-5 years","Manager","It was clear what each question was getting at.","Font was small.",2,1,1,3,2,2,1,3,2,1,2,3,1,1,2
"R0354","High Engagement","Operations","3-5 years","Individual contributor","Short enough that I could give real answers instead of rushing.","Some of the wording was ambiguous -- 'my team' could mean two different things.",2,4,4,1,4,4,4,4,4,3,4,4,4,4,4
"R0355","Moderate-Low Engagement","Content","Under 1 year","Individual contributor","It was clear what each question was getting at.","There was no option to say a question did not apply to me.",2,2,3,3,2,3,2,2,3,3,3,4,2,1,2
"R0356","High Engagement","Content","1-3 years","Individual contributor","I liked that it asked about things nobody usually asks about.","Some of the wording was ambiguous -- 'my team' could mean two different things.",4,4,4,4,4,4,4,4,1,3,4,4,4,4,3
"R0357","Moderate-Low Engagement","Product","1-3 years","Individual contributor","It was short.",NA,2,3,2,2,2,2,3,2,1,2,1,1,NA,3,3
"R0358","Moderate-High Engagement","Engineering","Under 1 year","Individual contributor","I liked that it asked about things nobody usually asks about.","The scale was confusing.",2,4,1,3,4,3,2,2,2,4,1,3,4,4,3
"R0359","Low Engagement","Marketing","1-3 years","Manager","It was clear what each question was getting at.","Hard to answer about onboarding when mine was two years ago.",1,1,1,NA,2,NA,1,3,4,4,3,3,3,1,4
"R0360","Moderate-High Engagement","Operations","3-5 years","Senior IC","I liked that it asked about things nobody usually asks about.",NA,3,1,3,3,2,4,4,4,3,3,3,3,3,3,4
"R0361","Moderate-Low Engagement","Content","3-5 years","Senior IC","The examples actually matched the kind of work I do day to day.","Some of the wording was ambiguous -- 'my team' could mean two different things.",1,1,4,3,2,3,2,2,1,2,1,1,2,2,2
"R0362","Moderate-High Engagement","Content","5+ years","Senior IC","I liked that it asked about things nobody usually asks about.","Some of the wording was ambiguous -- 'my team' could mean two different things.",4,4,4,4,4,4,NA,3,2,2,4,3,4,4,3
"R0363","Low Engagement","Engineering","5+ years","Individual contributor","n/a","Too long.",2,4,1,1,3,2,3,3,3,2,3,2,2,4,1
"R0364","Moderate-High Engagement","Content","3-5 years","Individual contributor","It was clear what each question was getting at.","There was no option to say a question did not apply to me.",4,2,2,2,4,3,3,3,4,3,3,3,4,NA,3
"R0365","Moderate-Low Engagement","Engineering","1-3 years","Senior IC","It was fine I guess.","Font was small.",2,3,2,3,3,3,3,2,4,3,2,2,2,4,2
"R0366","Moderate-High Engagement","Engineering","1-3 years","Manager","Short enough that I could give real answers instead of rushing.",NA,2,2,3,2,2,2,4,1,4,4,4,4,3,2,4
"R0367","Low Engagement","Product","5+ years","Individual contributor","The examples actually matched the kind of work I do day to day.","There was no option to say a question did not apply to me.",2,3,3,3,2,2,3,1,3,1,3,3,NA,1,NA
"R0368","Moderate-Low Engagement","Engineering","1-3 years","Senior IC","It was short.",NA,4,3,3,3,3,1,2,2,2,2,2,1,3,4,2
"R0369","Moderate-Low Engagement","Marketing","1-3 years","Senior IC","I liked that it asked about things nobody usually asks about.",NA,2,3,4,NA,2,2,3,3,1,1,3,2,2,1,1
"R0370","Moderate-High Engagement","Marketing","3-5 years","Individual contributor","I liked that it asked about things nobody usually asks about.",NA,4,4,3,3,4,NA,4,2,4,4,2,3,4,4,4
"R0371","Moderate-Low Engagement","Engineering","5+ years","Individual contributor","Short enough that I could give real answers instead of rushing.","There was no option to say a question did not apply to me.",3,4,2,2,3,1,2,1,1,3,2,3,4,3,3
"R0372","High Engagement","Content","Under 1 year","Manager","I liked that it asked about things nobody usually asks about.","nothing",4,4,4,4,4,4,4,4,4,NA,4,4,3,4,3
"R0373","Moderate-High Engagement","Operations","5+ years","Senior IC","Short enough that I could give real answers instead of rushing.","n/a",2,3,4,4,3,3,4,3,3,4,3,4,2,3,4
"R0374","Low Engagement","Product","1-3 years","Individual contributor","not really","Some of the wording was ambiguous -- 'my team' could mean two different things.",4,2,3,2,2,2,1,2,1,1,4,1,2,3,3
"R0375","Moderate-Low Engagement","Operations","3-5 years","Individual contributor","I liked that it asked about things nobody usually asks about.","The scale was confusing.",4,4,4,4,2,1,4,3,1,2,2,2,2,2,1
"R0376","Moderate-High Engagement","Marketing","3-5 years","Senior IC","Short enough that I could give real answers instead of rushing.","Some of the wording was ambiguous -- 'my team' could mean two different things.",3,4,4,2,3,4,4,3,3,2,3,4,3,2,3
"R0377","Moderate-Low Engagement","Marketing","Under 1 year","Individual contributor","not really","Hard to answer about onboarding when mine was two years ago.",1,2,3,3,3,3,2,2,3,1,2,2,4,4,3
"R0378","Low Engagement","Marketing","1-3 years","Individual contributor","It was short.","Too long.",2,1,4,4,1,1,1,2,2,1,1,3,1,1,1
"R0379","Moderate-High Engagement","Engineering","3-5 years","Individual contributor","Short enough that I could give real answers instead of rushing.","Hard to answer about onboarding when mine was two years ago.",4,2,4,4,2,3,2,4,1,2,2,3,4,4,2
"R0380","Moderate-High Engagement","Engineering","Under 1 year","Individual contributor","It was clear what each question was getting at.","Hard to answer about onboarding when mine was two years ago.",2,3,2,4,3,NA,3,4,4,2,4,4,4,2,4
"R0381","High Engagement","Data & Analytics","1-3 years","Senior IC","It was clear what each question was getting at.","There was no option to say a question did not apply to me.",3,3,4,3,4,4,3,4,3,1,4,4,4,NA,3
"R0382","Low Engagement","Data & Analytics","Under 1 year","Individual contributor","no","n/a",1,1,4,NA,2,1,3,2,2,1,3,2,NA,1,2
"R0383","Low Engagement","Content","1-3 years","Individual contributor","nothing","Too long.",4,3,3,4,1,1,2,3,2,3,4,1,2,2,2
"R0384","Moderate-High Engagement","Operations","Under 1 year","Senior IC","Short enough that I could give real answers instead of rushing.","There was no option to say a question did not apply to me.",4,4,3,4,4,4,4,3,4,4,3,1,3,4,4
"R0385","Moderate-Low Engagement","Marketing","1-3 years","Individual contributor","The examples actually matched the kind of work I do day to day.","There was no option to say a question did not apply to me.",2,4,2,3,2,NA,3,3,3,3,2,2,4,1,3
"R0386","Moderate-High Engagement","Content","3-5 years","Individual contributor","I liked that it asked about things nobody usually asks about.","nothing",3,3,2,1,3,3,4,4,4,2,2,4,1,3,2
"R0387","Moderate-High Engagement","Engineering","1-3 years","Individual contributor","Not much.",NA,NA,3,3,3,3,3,4,NA,2,3,3,2,4,3,3
"R0388","Moderate-High Engagement","Content","5+ years","Individual contributor","I liked that it asked about things nobody usually asks about.","idk",3,2,4,4,3,2,2,3,4,4,2,4,4,4,4
"R0389","Low Engagement","Marketing","3-5 years","Manager","It was fine I guess.",NA,3,NA,3,2,3,1,3,2,3,3,3,2,3,2,2
"R0390","Moderate-Low Engagement","Product","3-5 years","Senior IC","Not much.","Some of the wording was ambiguous -- 'my team' could mean two different things.",2,3,1,1,3,1,2,3,NA,3,2,1,3,4,2
"R0391","Moderate-High Engagement","Operations","3-5 years","Senior IC","not really",NA,3,2,NA,3,3,2,4,2,3,2,NA,4,4,2,3
"R0392","Low Engagement","Marketing","Under 1 year","Manager","It was fine I guess.","The scale was confusing.",2,1,3,4,1,3,2,3,2,1,2,2,1,3,1
"R0393","Moderate-Low Engagement","Content","3-5 years","Individual contributor","Short enough that I could give real answers instead of rushing.",NA,4,4,3,3,2,1,4,3,1,1,3,2,1,2,1
"R0394","Moderate-Low Engagement","Content","1-3 years","Senior IC","Not much.","The scale was confusing.",1,1,1,4,1,2,2,2,3,2,2,3,2,3,4
"R0395","Moderate-High Engagement","Engineering","Under 1 year","Individual contributor","The examples actually matched the kind of work I do day to day.",NA,2,4,3,4,4,3,2,4,4,3,4,3,4,3,3
"R0396","Moderate-High Engagement","Marketing","5+ years","Individual contributor","It was short.","Too long.",4,3,4,4,3,3,4,4,1,2,2,3,4,4,3
"R0397","High Engagement","Marketing","Under 1 year","Individual contributor","The examples actually matched the kind of work I do day to day.",NA,1,3,1,1,4,4,4,4,4,3,4,4,4,3,3
"R0398","Moderate-Low Engagement","Operations","1-3 years","Senior IC","It was fine I guess.","There was no option to say a question did not apply to me.",2,2,4,3,3,4,3,3,4,4,3,2,3,3,3
"R0399","Moderate-High Engagement","Marketing","3-5 years","Individual contributor","I liked that it asked about things nobody usually asks about.",NA,3,1,4,4,4,4,4,3,NA,2,2,3,3,3,3
"R0400","Moderate-Low Engagement","Product","5+ years","Individual contributor","The examples actually matched the kind of work I do day to day.","Some of the wording was ambiguous -- 'my team' could mean two different things.",4,3,4,1,3,2,1,2,2,3,4,3,2,4,1
"R0401","Low Engagement","Content","3-5 years","Senior IC","It was fine I guess.",NA,3,2,3,2,3,2,1,2,2,3,2,2,2,1,2
"R0402","Moderate-High Engagement","Operations","3-5 years","Individual contributor","Short enough that I could give real answers instead of rushing.","Some of the wording was ambiguous -- 'my team' could mean two different things.",4,3,3,4,4,3,4,4,3,2,4,4,3,4,4
"R0403","Moderate-Low Engagement","Marketing","1-3 years","Individual contributor","not really","Too long.",2,2,3,4,4,2,3,2,2,NA,3,3,2,1,2
"R0404","Moderate-High Engagement","Engineering","3-5 years","Individual contributor","I liked that it asked about things nobody usually asks about.","Hard to answer about onboarding when mine was two years ago.",4,4,4,4,NA,4,4,3,3,3,4,3,4,4,4
"R0405","Moderate-Low Engagement","Content","5+ years","Individual contributor","It was fine I guess.","The scale was confusing.",3,3,2,2,2,2,1,4,1,2,3,2,3,3,3
"R0406","Low Engagement","Marketing","1-3 years","Senior IC","Not much.","The scale was confusing.",4,4,4,4,1,2,1,NA,1,1,4,2,1,4,2
"R0407","Moderate-High Engagement","Content","5+ years","Senior IC","Not much.",NA,2,3,3,3,2,2,3,3,3,4,3,4,2,4,2
"R0408","Moderate-Low Engagement","Engineering","3-5 years","Senior IC","Not much.","Hard to answer about onboarding when mine was two years ago.",NA,2,2,4,3,2,2,2,3,3,2,2,2,1,2
"R0409","Moderate-Low Engagement","Content","1-3 years","Senior IC","It was fine I guess.","The scale was confusing.",3,3,2,2,4,2,4,3,NA,1,2,2,2,3,2
"R0410","Low Engagement","Content","3-5 years","Manager","Not much.",NA,3,4,3,3,1,1,2,3,2,3,1,1,2,1,1
"R0411","Low Engagement","Engineering","5+ years","Manager","not really","Too long.",3,2,3,3,1,1,2,3,1,1,1,2,1,3,1
"R0412","Low Engagement","Content","Under 1 year","Individual contributor","Not much.","The scale was confusing.",2,4,3,3,1,1,2,4,2,3,2,4,2,3,3
"R0413","Moderate-High Engagement","Product","Under 1 year","Individual contributor","The examples actually matched the kind of work I do day to day.","Hard to answer about onboarding when mine was two years ago.",2,3,2,3,4,4,3,3,3,4,2,4,4,4,2
"R0414","High Engagement","Data & Analytics","Under 1 year","Senior IC","Short enough that I could give real answers instead of rushing.",NA,3,2,NA,4,NA,4,4,3,4,4,4,4,4,2,2
"R0415","High Engagement","Data & Analytics","3-5 years","Senior IC","The examples actually matched the kind of work I do day to day.","none",4,4,4,4,4,4,4,4,4,4,4,4,4,3,4
"R0416","High Engagement","Content","3-5 years","Individual contributor","The examples actually matched the kind of work I do day to day.","Some of the wording was ambiguous -- 'my team' could mean two different things.",3,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"R0417","Low Engagement","Operations","Under 1 year","Senior IC","It was fine I guess.","The scale was confusing.",1,1,2,3,1,2,2,2,1,1,2,2,1,1,1
"R0418","Moderate-High Engagement","Operations","3-5 years","Individual contributor","Short enough that I could give real answers instead of rushing.",NA,4,3,3,3,3,4,4,4,3,3,3,4,3,3,3
"R0419","Moderate-High Engagement","Content","5+ years","Individual contributor","Short enough that I could give real answers instead of rushing.","There was no option to say a question did not apply to me.",4,3,3,2,4,3,4,3,2,4,4,2,3,3,2
"R0420","Moderate-High Engagement","Content","3-5 years","Individual contributor","Not much.","Some of the wording was ambiguous -- 'my team' could mean two different things.",4,2,4,3,2,3,3,4,4,4,4,4,4,2,3
"R0421","Moderate-High Engagement","Marketing","3-5 years","Senior IC","It was clear what each question was getting at.","There was no option to say a question did not apply to me.",3,4,1,2,4,4,4,3,3,3,4,4,4,3,3
"R0422","High Engagement","Content","5+ years","Individual contributor","I liked that it asked about things nobody usually asks about.","none",4,4,3,4,4,4,4,4,3,2,4,4,4,3,4
"R0423","Moderate-Low Engagement","Product","1-3 years","Senior IC","It was fine I guess.","There was no option to say a question did not apply to me.",4,4,3,3,3,2,NA,3,2,3,3,2,3,3,4
"R0424","Low Engagement","Engineering","Under 1 year","Senior IC","It was clear what each question was getting at.","none",1,2,3,3,1,1,2,1,1,3,2,1,1,1,2
"R0425","High Engagement","Product","Under 1 year","Manager","It was clear what each question was getting at.","There was no option to say a question did not apply to me.",4,4,4,4,4,4,3,4,2,3,4,4,4,4,2
"R0426","Moderate-Low Engagement","Marketing","1-3 years","Senior IC","It was short.","nothing",NA,2,1,3,2,3,2,1,3,4,3,3,2,3,4
"R0427","Moderate-Low Engagement","Operations","Under 1 year","Individual contributor","I liked that it asked about things nobody usually asks about.","The scale was confusing.",4,1,1,3,2,2,3,4,1,2,3,2,3,3,1
"R0428","Moderate-High Engagement","Operations","1-3 years","Individual contributor","It was clear what each question was getting at.","none",3,1,4,4,4,3,2,4,3,3,3,2,3,1,3
"R0429","Moderate-High Engagement","Marketing","1-3 years","Senior IC","It was fine I guess.",NA,2,2,4,4,3,3,3,3,4,4,3,2,4,2,2
"R0430","High Engagement","Engineering","3-5 years","Senior IC","Short enough that I could give real answers instead of rushing.","nothing",3,4,1,NA,4,4,4,4,4,4,4,4,4,3,4
"R0431","Moderate-Low Engagement","Data & Analytics","Under 1 year","Individual contributor","The examples actually matched the kind of work I do day to day.","Too long.",1,NA,2,4,1,2,2,4,3,2,4,2,2,1,4
"R0432","Low Engagement","Engineering","1-3 years","Senior IC","It was short.","Font was small.",1,4,2,1,1,1,1,1,2,3,3,1,2,2,1
"R0433","Moderate-High Engagement","Data & Analytics","Under 1 year","Individual contributor","I liked that it asked about things nobody usually asks about.","Some of the wording was ambiguous -- 'my team' could mean two different things.",3,3,3,2,NA,4,4,3,4,2,4,3,4,NA,4
"R0434","Moderate-Low Engagement","Operations","5+ years","Manager","The examples actually matched the kind of work I do day to day.","Hard to answer about onboarding when mine was two years ago.",2,2,4,4,2,2,3,4,4,3,3,2,3,4,2
"R0435","Moderate-High Engagement","Engineering","Under 1 year","Senior IC","I liked that it asked about things nobody usually asks about.","idk",2,3,2,2,4,2,2,4,4,4,4,4,4,2,4
"R0436","Moderate-High Engagement","Marketing","Under 1 year","Senior IC","Short enough that I could give real answers instead of rushing.","idk",3,3,3,2,4,4,4,4,4,4,4,4,2,2,2
"R0437","Moderate-High Engagement","Content","Under 1 year","Individual contributor","Short enough that I could give real answers instead of rushing.","n/a",4,3,3,3,2,NA,3,3,4,3,4,4,4,4,3
